"Story","Title","Result","Date","Stability","Duration (s)"
"CT04 - Acessar aba das vantagens do cartão Sou Barato","Acessar Aba","SUCCESS","2018-02-07T09:30:15.916-02:00","0.0","22.62"
"CT02 - Adicionar ao carrinho camisa selecao brasileira","Adicionar Camisa","SUCCESS","2018-02-06T14:06:19.118-02:00","0.0","56.09"
"CT02 - Adicionar geladeira Brastemp ao carrinho (via Menu)","Adicionar Geladeira","SUCCESS","2018-02-22T10:40:40.508-03:00","0.0","201.23"
"CT03 - Adicionar Iphone ao carrinho (via campo pesquisa)","Adicionar Iphone","SUCCESS","2018-02-07T09:29:22.799-02:00","0.0","52.11"
"CT04 - Adicionar item ao carrinho e calcular frete atq o CEP da RSI Matriz","Adicionar Item","SUCCESS","2018-02-06T14:17:01.140-02:00","0.0","89.17"
"CT01 - Adicionar ao carrinho um item da seção Produtos Reembalados","Adicionar Produto","SUCCESS","2018-02-07T09:27:16.179-02:00","0.0","69.49"
"CT01 - Adicionar tenis ao carrinho (qualquer um)","Adicionar Tenis","SUCCESS","2018-02-06T14:04:34.761-02:00","0.0","101.94"
"CT05 - Adicionar item no carrinho, Limpar Carrinho e voltar para loja","Adicionar item","SUCCESS","2018-02-06T14:19:45.047-02:00","0.0","105.92"
"CT04 - Buscar Agencia","Buscar Agencia","SUCCESS","2018-02-06T13:43:43.308-02:00","0.0","35.73"
"CT01 - Buscar CEP (por endereço)","Buscar CEP","SUCCESS","2018-02-06T13:40:54.294-02:00","0.0","85.65"
"CT02 - Buscar Endereco (por CEP)","Buscar Endereco","SUCCESS","2018-02-06T13:42:34.878-02:00","0.0","21.45"
"CT05 - Calcular frete de qualquer item ate o CEP da RSI Matriz (Osasco)","Calcular Frete","SUCCESS","2018-02-07T09:33:52.365-02:00","0.0","95.17"
"CT03 - Calcular Preços e prazos - de CEP A a CEP B","Calcular Precos e Prazos","SUCCESS","2018-02-06T13:42:56.611-02:00","0.0","45.96"
"CT05 - Calcular Preços e prazos - RSI Osasco a RSI Alphaville","Calcular Precos e Prazos","SUCCESS","2018-02-06T13:44:19.651-02:00","0.0","28.47"
"CT03 - Comprar ingresso","Comprar ingresso","SUCCESS","2018-02-06T13:51:09.273-02:00","0.0","76.77"
"CT04 - Consultar promoção trajeto Angra dos Reis - Rio de Janeiro","Consultar Promocao","SUCCESS","2018-02-06T13:52:26.816-02:00","0.0","31.14"
"CT02 -  Consultar vôo economico para Bahia","Consultar vôo","SUCCESS","2018-02-06T13:50:08.387-02:00","0.0","60.46"
"CT03 - Escolher um calçado na secao outlet com valor abaixo de 150 reais","Escolher Calcado","SUCCESS","2018-02-06T14:13:44.602-02:00","0.0","114.37"
"CT05 - Reservar hotel 5 estrelas São Paulo","Reservar hotel","SUCCESS","2018-02-06T13:52:58.697-02:00","0.0","111.38"
"CT01 - Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel","SUCCESS","2018-02-06T13:47:12.617-02:00","0.0","155.09"
